Aug_1-8894912787																
VFclass	Virulence factors	Related genes	ma1265(Prediction)	P.aeruginosa LESB58 	P.aeruginosa PA7 	P.aeruginosa PAO1 	P.aeruginosa UCBPP-PA14 	P.entomophila L48 	P.fluorescens Pf0-1 	P.mendocina ymp 	P.putida KT2440 	P.putida W619 	P.stutzeri A1501 	P.syringae pv. phaseolicola 1448A 		P.syringae pv. syringae B728a 
		motC	BMIEOKOB_03084	PLES_39531	PSPA7_3866	PA1460	PA14_45560	PSEEN3791	Pfl_1568	Pmen_2800	PP_4336	PputW619_3662	PST_2564	-	PSPPH_3358	Psyr_3432
		motD	BMIEOKOB_03083	PLES_39521	PSPA7_3865	PA1461	PA14_45540	PSEEN3790	Pfl_1569	Pmen_2799	PP_4335	PputW619_3661	PST_2563	-	PSPPH_3357	Psyr_3431
		motY	BMIEOKOB_01779	PLES_15071	PSPA7_1621	PA3526	PA14_18720	PSEEN1209	Pfl_4518	Pmen_1393	PP_1087	PputW619_1116	PST_1202	-	PSPPH_3887	Psyr_3893
	LPS O-antigen (P. aeruginosa)	Undetermined	BMIEOKOB_03115; BMIEOKOB_03116	PLES_19081; PLES_19091; PLES_19101; PLES_19111; PLES_19121; PLES_19131; PLES_19141; PLES_19151; PLES_19161; PLES_19171; PLES_19181	PSPA7_1969; PSPA7_1970; PSPA7_1971; PSPA7_1972; PSPA7_1973; PSPA7_1974; PSPA7_1975; PSPA7_1976; PSPA7_1977; PSPA7_1978; PSPA7_1979; PSPA7_1980; PSPA7_1981; PSPA7_1982; PSPA7_1983; PSPA7_1984; PSPA7_1985; PSPA7_1986	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	PA14_23360; PA14_23370; PA14_23380; PA14_23390; PA14_23400; PA14_23410; PA14_23420; PA14_23430; PA14_23440; PA14_23450; PA14_23460; PA14_23470	-	-	-	-	-	-	-	-	-
	Type IV pili biosynthesis	fimT	-	PLES_49321	PSPA7_5189	PA4549	-	-	-	Pmen_0963	-	-	PST_0975	-	-	-
		fimU	-	PLES_49331	PSPA7_5190	PA4550	PA14_60280	-	Pfl_4848	Pmen_0962	-	-	PST_0974	-	PSPPH_0725	Psyr_0714; Psyr_0715
		fimV	BMIEOKOB_02676	PLES_19441	PSPA7_2018	PA3115	PA14_23830	PSEEN1688	Pfl_1895	Pmen_2718	PP_1993	PputW619_1554	PST_1777	-	PSPPH_1655	Psyr_1661
		pilA	-	PLES_49071	PSPA7_5161	PA4525	PA14_58730	PSEEN4666	Pfl_4819	Pmen_0777	PP_0634	PputW619_4536	PST_1054	-	PSPPH_0821	Psyr_0799
		pilB	BMIEOKOB_03720	PLES_49091	PSPA7_5162	PA4526	PA14_58750	-	Pfl_4820	Pmen_0775	-	-	PST_1055	-	PSPPH_0820	Psyr_0798
		pilC	BMIEOKOB_03719	PLES_49101	PSPA7_5163	PA4527	PA14_58760	PSEEN4667	Pfl_4821	Pmen_0774	PP_0633	PputW619_4537	PST_1056	-	PSPPH_0819	Psyr_0797
		pilD	BMIEOKOB_03718	PLES_49111	PSPA7_5164	PA4528	PA14_58770	PSEEN4668	Pfl_4822	Pmen_0773	PP_0632	PputW619_4538	PST_1057	-	PSPPH_0818	Psyr_0796
		pilE	BMIEOKOB_04046	PLES_49391	PSPA7_5196	PA4556	PA14_60320	PSEEN4684	Pfl_4842	Pmen_0957	PP_0611	PputW619_4551	PST_0968	-	PSPPH_0731	Psyr_0720
		pilF	BMIEOKOB_03442	PLES_11691	PSPA7_1309	PA3805	PA14_14850	PSEEN1019	Pfl_4603	Pmen_3502	PP_0851	PputW619_4327	PST_3033	-	PSPPH_1318	Psyr_1246
		pilM	BMIEOKOB_00673	PLES_54341	PSPA7_5781	PA5044	PA14_66660	PSEEN0330	Pfl_0405	Pmen_0542	PP_5083	PputW619_0383	PST_0553	-	PSPPH_0390	Psyr_0403
		pilN	BMIEOKOB_00674	PLES_54331	PSPA7_5780	PA5043	PA14_66650	PSEEN0331	Pfl_0406	Pmen_0543	PP_5082	PputW619_0384	PST_0554	-	PSPPH_0391	Psyr_0404
		pilO	BMIEOKOB_00675	PLES_54321	PSPA7_5779	PA5042	PA14_66640	-	Pfl_0407	Pmen_0544	-	-	PST_0555	-	PSPPH_0392	Psyr_0405
		pilP	BMIEOKOB_00676	PLES_54311	PSPA7_5778	PA5041	PA14_66630	PSEEN0332	Pfl_0408	Pmen_0545	PP_5081	PputW619_0385	PST_0556	-	PSPPH_0393	Psyr_0406
		pilQ	BMIEOKOB_00677	PLES_54301	PSPA7_5777	PA5040	PA14_66620	PSEEN0333	Pfl_0409	Pmen_0546	PP_5080	PputW619_0386	PST_0557	-	PSPPH_0394	Psyr_0407
		pilR	BMIEOKOB_01189; BMIEOKOB_03823	PLES_49301	PSPA7_5187	PA4547	PA14_60260	-	Pfl_4840	Pmen_0965	-	-	PST_3646	-	PSPPH_0736	Psyr_0722
		pilS	BMIEOKOB_03822	PLES_49291	PSPA7_5186	PA4546	PA14_60250	-	Pfl_4839	Pmen_0966	-	-	PST_3645	-	PSPPH_0737	Psyr_0723
		pilT	BMIEOKOB_00716	PLES_03931	PSPA7_0495	PA0395	PA14_05180	PSEEN0319	Pfl_5318	Pmen_4149	PP_5093	PputW619_0372	PST_3965	-	PSPPH_0469	Psyr_0478
		pilU	BMIEOKOB_00717	PLES_03941	PSPA7_0496	PA0396	PA14_05190	-	Pfl_3082	Pmen_4148	-	-	PST_3964	-	PSPPH_2319	Psyr_2906
		pilV	-	PLES_49341	PSPA7_5191	PA4551	-	-	Pfl_4846	Pmen_0961	-	-	PST_0973	-	-	-
		pilW	-	PLES_49351	PSPA7_5192	PA4552	PA14_60290	-	Pfl_4845	Pmen_0960	-	-	PST_0972	-	-	-
		pilX	-	PLES_49361	PSPA7_5193	PA4553	PA14_60300	-	Pfl_4844	Pmen_0959	-	-	PST_0971	-	-	-
		pilY1	BMIEOKOB_03830; BMIEOKOB_04047	PLES_49371	PSPA7_5194	PA4554	PA14_60310	-	Pfl_4843	Pmen_0958	-	-	PST_0970	-	PSPPH_0730	Psyr_0719
		pilY2	-	PLES_49381	PSPA7_5195	PA4555	-	-	-	-	-	-	PST_0969	-	-	-
		pilZ	BMIEOKOB_03304	PLES_21031	PSPA7_2201	PA2960	PA14_25770	-	Pfl_4150	Pmen_1635	-	-	PST_2615	-	-	Psyr_1654
	Type IV pili twitching motility related proteins	chpA	BMIEOKOB_00734	PLES_04111	PSPA7_0513	PA0413	PA14_05390	PSEEN5051	Pfl_5304	Pmen_0408	PP_4988	PputW619_0476	PST_3948	-	PSPPH_0483	Psyr_0492
		chpB	BMIEOKOB_00735	PLES_04121	PSPA7_0514	PA0414	PA14_05400	-	-	Pmen_0409	-	-	PST_3947	-	-	-
		chpC	BMIEOKOB_00736	PLES_04131	PSPA7_0515	PA0415	PA14_05410	PSEEN5050	Pfl_5303	Pmen_0410	PP_4987	PputW619_0477	PST_3946	-	PSPPH_0484	Psyr_0493
		chpD	-	PLES_04141	PSPA7_0516	PA0416	PA14_05420	-	-	-	-	-	-	-	-	-
		chpE	-	PLES_04151	PSPA7_0517	PA0417	PA14_05430	-	-	Pmen_0661	-	-	-	-	-	-
		pilG	BMIEOKOB_00729	PLES_04061	PSPA7_0508	PA0408	PA14_05320	PSEEN5055	Pfl_5308	Pmen_0403	PP_4992	PputW619_0472	PST_3953	-	PSPPH_0479	Psyr_0488
		pilH	BMIEOKOB_00730	PLES_04071	PSPA7_0509	PA0409	PA14_05330	PSEEN5054	Pfl_5307	Pmen_0404	PP_4991	PputW619_0473	PST_3952	-	PSPPH_0480	Psyr_0489
		pilI	BMIEOKOB_00731	PLES_04081	PSPA7_0510	PA0410	PA14_05340	PSEEN5053	Pfl_5306	Pmen_0405	PP_4990	PputW619_0474	PST_3951	-	PSPPH_0481	Psyr_0490
		pilJ	BMIEOKOB_00732	PLES_04091	PSPA7_0511	PA0411	PA14_05360	PSEEN5052	Pfl_5305	Pmen_0406	PP_4989	PputW619_0475	PST_3950	-	PSPPH_0482	Psyr_0491
		pilK	BMIEOKOB_00733	PLES_04101	PSPA7_0512	PA0412	PA14_05380	-	-	Pmen_0407	-	-	PST_3949	-	-	-
	Polar flagella(Aeromonas)	cheV	BMIEOKOB_01788	-	-	-	-	-	-	-	-	-	-	-	-	-
Antimicrobial activity	Phenazines biosynthesis	phzA1	-	PLES_07171	PSPA7_0888	PA4210	PA14_09480	-	-	-	-	-	-	-	-	-
		phzA2	-	PLES_34251	PSPA7_3385	PA1899	PA14_39970	-	-	-	-	-	-	-	-	-
		phzB1	-	PLES_07161	PSPA7_0888	PA4211	PA14_09470	-	-	-	-	-	-	-	-	-
		phzB2	-	PLES_34241	PSPA7_3384	PA1900	PA14_39960	-	-	-	-	-	-	-	-	-
		phzC1	-	PLES_07151	PSPA7_0887	PA4212	PA14_09460	-	-	-	-	-	-	-	-	-
		phzC2	-	PLES_34231	PSPA7_3383	PA1901	PA14_39945	-	-	-	-	-	-	-	-	-
		phzD1	-	PLES_07141	PSPA7_0886	PA4213	PA14_09450	-	-	-	-	-	-	-	-	-
		phzD2	BMIEOKOB_03023	PLES_34221	PSPA7_3382	PA1902	PA14_39925	-	-	-	-	-	-	-	-	-
		phzE1	-	PLES_07131	PSPA7_0885	PA4214	PA14_09440	-	-	-	-	-	-	-	-	-
		phzE2	-	PLES_34211	PSPA7_3381	PA1903	PA14_39910	-	-	-	-	-	-	-	-	-
		phzF1	-	PLES_07121	PSPA7_0884	PA4215	PA14_09420	-	-	-	-	-	-	-	-	-
		phzF2	-	PLES_34201	PSPA7_3380	PA1904	PA14_39890	-	-	-	-	-	-	-	-	-
		phzG1	-	PLES_07111	PSPA7_0883	PA4216	PA14_09410	-	-	-	-	-	-	-	-	-
		phzG2	-	PLES_34191	PSPA7_3379	PA1905	PA14_39880	-	-	-	-	-	-	-	-	-
		phzH	BMIEOKOB_00171	PLES_00521	-	PA0051	PA14_00640	-	-	-	-	-	-	-	-	-
		phzM	-	PLES_07181	PSPA7_0889	PA4209	PA14_09490	-	-	-	-	-	-	-	-	-
		phzS	-	PLES_07101	PSPA7_0881	PA4217	PA14_09400	-	-	-	-	-	-	-	-	-
Antiphagocytosis	Alginate biosynthesis	alg44	-	PLES_14911	PSPA7_1603	PA3542	PA14_18550	PSEEN4537	Pfl_0958	Pmen_1029	PP_1286	PputW619_0887	-	-	PSPPH_1116	Psyr_1061
		alg8	-	PLES_14921	PSPA7_1604	PA3541	PA14_18565	PSEEN4536	Pfl_0959	Pmen_1030	PP_1287	PputW619_0888	-	-	PSPPH_1117	Psyr_1062
		algA	BMIEOKOB_00816	PLES_14821	PSPA7_1594	PA3551	PA14_18380	PSEEN4546	Pfl_0949	Pmen_1020	PP_1277	PputW619_0878	PST_1169	-	PSPPH_1107	Psyr_1052
		algC	BMIEOKOB_04609	PLES_57171	PSPA7_6098	PA5322	PA14_70270	PSEEN5434	Pfl_5542	Pmen_4379	PP_5288	PputW619_0183	PST_0470	-	PSPPH_0207	Psyr_0219
		algD	-	PLES_14931	PSPA7_1605	PA3540	PA14_18580	PSEEN4535	Pfl_0960	Pmen_1031	PP_1288	PputW619_0889	-	-	PSPPH_1118	Psyr_1063
		algE	-	PLES_14891	PSPA7_1601	PA3544	PA14_18510	PSEEN4539	Pfl_0956	Pmen_1027	PP_1284	PputW619_0885	-	-	PSPPH_1114	Psyr_1059
		algF	-	PLES_14831	PSPA7_1595	PA3550	PA14_18410	PSEEN4545	Pfl_0950	Pmen_1021	PP_1278	PputW619_0879	-	-	PSPPH_1108	Psyr_1053
		algG	-	PLES_14881	PSPA7_1600	PA3545	PA14_18500	PSEEN4540	Pfl_0955	Pmen_1026	PP_1283	PputW619_0884	-	-	PSPPH_1113	Psyr_1058
		algI	BMIEOKOB_01132	PLES_14851	PSPA7_1597	PA3548	PA14_18450	PSEEN4543	Pfl_0952	Pmen_1023	PP_1280	PputW619_0881	PST_2877	-	PSPPH_1110	Psyr_1055
		algJ	-	PLES_14841	PSPA7_1596	PA3549	PA14_18430	PSEEN4544	Pfl_0951	Pmen_1022	PP_1279	PputW619_0880	-	-	PSPPH_1109	Psyr_1054
		algK	BMIEOKOB_01170	PLES_14901	PSPA7_1602	PA3543	PA14_18520	PSEEN4538	Pfl_0957	Pmen_1028	PP_1285	PputW619_0886	PST_3760	-	PSPPH_1115	Psyr_1060
		algL	-	PLES_14861	PSPA7_1598	PA3547	PA14_18470	PSEEN4542	Pfl_0953	Pmen_1024	PP_1281	PputW619_0882	-	-	PSPPH_1111	Psyr_1056
		algX	-	PLES_14871	PSPA7_1599	PA3546	PA14_18480	PSEEN4541	Pfl_0954	Pmen_1025	PP_1282	PputW619_0883	-	-	PSPPH_1112	Psyr_1057
	Alginate regulation	algP/algR3	-	PLES_56471	PSPA7_5998	PA5253	PA14_69370	PSEEN0161	Pfl_5480	Pmen_0287	PP_0194	PputW619_0263	PST_0530	-	PSPPH_0059	Psyr_0054
		algQ	BMIEOKOB_04431	PLES_56491	PSPA7_6001	PA5255	PA14_69390	PSEEN0159	Pfl_5482	Pmen_0285	PP_0191	PputW619_0261	PST_0529	-	PSPPH_0061	Psyr_0056
		algR	BMIEOKOB_04437	PLES_56551	PSPA7_6007	PA5261	PA14_69470	PSEEN5354	Pfl_5488	Pmen_0279	PP_0185	PputW619_0255	PST_0523	-	PSPPH_0069	Psyr_0063
		algU	BMIEOKOB_00941	PLES_45811	PSPA7_4757	PA0762	PA14_54430	PSEEN4296	Pfl_1362	Pmen_1467	PP_1427	PputW619_1067	PST_1223	-	PSPPH_3955	Psyr_3958
		algW	BMIEOKOB_01307	PLES_48251	PSPA7_5018	PA4446	PA14_57760	PSEEN4521	Pfl_0875	Pmen_0888	PP_1301	PputW619_0908	PST_1048	-	PSPPH_4135	Psyr_4130
		algZ	BMIEOKOB_04438	PLES_56561	PSPA7_6008	PA5262	PA14_69480	-	-	Pmen_0278	-	-	PST_0522	-	PSPPH_0070	Psyr_0064
		mucA	BMIEOKOB_00942	PLES_45801	PSPA7_4756	PA0763	PA14_54420	PSEEN4295	Pfl_1363	Pmen_1468	PP_1428	PputW619_1068	PST_1224	-	PSPPH_3954	Psyr_3957
		mucB	-	PLES_45791	PSPA7_4755	PA0764	PA14_54410	PSEEN4294	Pfl_1364	Pmen_1469	PP_1429	PputW619_1069	PST_1225	-	PSPPH_3953	Psyr_3956
		mucC	-	PLES_45781	PSPA7_4754	PA0765	PA14_54400	-	-	Pmen_1470	-	-	PST_1226	-	-	-
		mucD	BMIEOKOB_00943	PLES_45771	PSPA7_4753	PA0766	PA14_54390	PSEEN4293	Pfl_1365	Pmen_1471	PP_1430	PputW619_1070	PST_1227	-	PSPPH_3952	Psyr_3955
		mucE	-	PLES_09431	PSPA7_1072	PA4033	PA14_11670	-	-	-	-	-	-	-	-	-
		mucP	BMIEOKOB_01323	PLES_13861	PSPA7_1490	PA3649	PA14_17140	PSEEN4213	Pfl_1108	Pmen_3046	PP_1598	PputW619_4075	PST_1544	-	PSPPH_3833	Psyr_1350
	Capsular polysaccharide(Vibrio)	rmlB	BMIEOKOB_03114	-	-	-	-	-	-	-	-	-	-	-	-	-
		rmlC	BMIEOKOB_03112	-	-	-	-	-	-	-	-	-	-	-	-	-
	Capsule I(Burkholderia)	gmd-1	BMIEOKOB_00182	-	-	-	-	-	-	-	-	-	-	-	-	-
	Capsule(Klebsiella)	probable wbaZ	BMIEOKOB_04462	-	-	-	-	-	-	-	-	-	-	-	-	-
Biosurfactant	Rhamnolipid biosynthesis	rhlA	-	PLES_15331	PSPA7_1647	PA3479	PA14_19100	-	-	-	-	-	-	-	-	-
		rhlB	-	PLES_15341	PSPA7_1648	PA3478	PA14_19110	-	-	-	-	-	-	-	-	-
		rhlC	-	PLES_41891	-	PA1130	PA14_49760	-	-	-	-	-	-	-	-	-
Enzyme	Hemolytic phospholipase C	plcH	-	PLES_44741	PSPA7_4676	PA0844	PA14_53360	-	-	-	-	-	-	-	-	-
	Non-hemolytic phospholipase C	plcN	-	PLES_17461	PSPA7_1801	PA3319	PA14_21110	-	-	-	-	-	-	-	-	-
	Phospholipase C	plcB	-	PLES_00251	PSPA7_0027	PA0026	PA14_00300	-	-	-	-	-	-	-	-	-
	Phospholipase D	pldA	-	-	-	PA3487	PA14_18970	-	-	-	-	-	-	-	-	-
Iron uptake	Achromobactin biosynthesis and transport	acsA	BMIEOKOB_02198	-	PSPA7_3092	-	-	-	-	-	-	-	-	-	PSPPH_2756	Psyr_2589
		acsB	BMIEOKOB_02197	-	PSPA7_3089	-	-	-	-	-	-	-	-	-	PSPPH_2755	Psyr_2588
		acsC	BMIEOKOB_02196	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2754	Psyr_2587
		acsD	BMIEOKOB_02193	-	PSPA7_3094	-	-	-	-	-	-	-	-	-	PSPPH_2751	Psyr_2584
		cbrA	BMIEOKOB_02199	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2757	Psyr_2590
		cbrB	BMIEOKOB_02200	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2758	Psyr_2591
		cbrC	BMIEOKOB_02201	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2759	Psyr_2592
		cbrD	BMIEOKOB_02202; BMIEOKOB_03030; BMIEOKOB_03389	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2760	Psyr_2593
	Pyochelin receptor	fptA	-	PLES_07061	PSPA7_0879	PA4221	PA14_09340	-	-	-	-	-	-	-	-	-
	Pyochelin	pchA	BMIEOKOB_03025	PLES_06961	PSPA7_0869	PA4231	PA14_09210	PSEEN2504	-	-	-	-	-	-	PSPPH_2904	-
